age,basket_size,churned,conversion_rate,customer_lifetime_value,device,discount_usage,membership_tier,monthly_spend,orders_per_month,region,return_rate,session_duration,tenure_months
25.3404,33.8035,no,0.35,108982.2705,mobile,0.6995,gold,2500.0,10.0673,east,0.6072,449.0075,28.3734
84.7377,29.214,yes,0.35,187653.4797,mobile,0.9415,gold,2500.0,20.0,east,0.8306,146.4668,167.6291
41.6931,21.9905,yes,0.35,252980.3948,mobile,0.3412,gold,2500.0,20.0,west,0.1055,576.5118,152.9048
29.0341,26.5656,no,0.35,307956.177,mobile,0.9196,gold,2500.0,20.0,west,0.8257,355.8923,78.0308
34.0459,23.7707,yes,0.35,189494.6521,mobile,0.0287,gold,2500.0,10.9104,north,0.2121,478.9016,82.341
22.3354,36.2837,no,0.35,379082.3267,mobile,0.6906,gold,2500.0,20.0,west,0.7929,56.739,53.9615
56.957,17.8441,no,0.35,275194.2364,mobile,0.3518,gold,2500.0,18.3974,west,0.2305,433.0493,76.416
36.461,29.8898,no,0.35,298395.3703,mobile,0.9805,gold,2500.0,17.7748,east,0.3609,182.0583,170.2164
56.9486,35.1735,no,0.1263,434230.5986,mobile,0.4909,gold,2500.0,20.0,east,0.4694,264.8408,45.0629
76.8366,20.6347,yes,0.0741,314722.8535,mobile,0.0536,gold,2500.0,20.0,west,0.3038,596.357,29.3099
49.3381,22.6933,no,0.35,495015.6302,mobile,0.3054,gold,2500.0,20.0,north,0.7401,568.6065,50.6613
33.75,28.0476,no,0.1565,204258.7863,mobile,0.6894,gold,2500.0,1.9584,south,0.2881,170.3483,206.446
74.2993,31.6278,no,0.35,466834.2292,mobile,0.4251,gold,2500.0,20.0,west,0.9084,496.1521,18.067
25.2022,34.7452,yes,0.35,471338.1204,mobile,0.5005,gold,2500.0,4.8265,north,0.0399,259.7852,78.0349
87.1814,41.962,yes,0.35,475393.1389,mobile,0.9996,gold,2500.0,16.1707,west,0.0402,454.005,113.4497
62.9741,25.0946,yes,0.0912,173980.5281,mobile,0.3333,gold,2500.0,20.0,west,0.3298,416.5105,69.8841
22.5164,13.3675,yes,0.1159,386273.963,mobile,0.8649,gold,2500.0,1.0,west,0.8694,277.7238,13.9548
72.2393,10.9744,no,0.35,463836.3804,mobile,0.4381,gold,2500.0,7.2856,west,0.9731,365.7141,58.1921
22.8975,49.6206,yes,0.35,230723.9471,mobile,0.1175,gold,2500.0,20.0,west,0.7166,305.8143,66.3486
56.7936,19.7957,yes,0.35,254120.4458,mobile,0.8793,gold,2500.0,16.5748,south,0.79,249.5505,224.2854
77.9732,29.4162,no,0.35,432630.2974,mobile,0.4465,gold,2500.0,19.9464,west,0.7629,226.9488,223.9517
33.2836,39.0017,yes,0.0436,372352.5758,mobile,0.7052,gold,2500.0,20.0,south,0.6637,492.6278,235.4155
80.3578,43.8353,yes,0.35,262975.5434,mobile,0.4569,gold,2500.0,20.0,east,0.6548,93.4624,113.2083
79.0306,42.7647,yes,0.35,190004.6988,mobile,0.3167,gold,2500.0,20.0,west,0.8724,22.5036,17.3526
88.397,38.2581,yes,0.35,50253.6202,mobile,0.1664,gold,2500.0,1.7368,west,0.3244,34.6154,86.6727
57.8787,39.8335,yes,0.17,39484.1753,mobile,0.8708,gold,2500.0,14.4498,east,0.9128,86.7275,111.2148
82.5192,23.7974,yes,0.2876,273299.0688,mobile,0.0739,gold,2500.0,20.0,west,0.2992,577.2554,165.9849
79.1468,6.226,no,0.35,179479.5788,mobile,0.2959,gold,2500.0,1.3164,south,0.83,238.0876,2.9354
73.4048,12.2758,no,0.35,109502.2695,mobile,0.1901,gold,2500.0,20.0,south,0.7675,408.8322,33.6902
74.3572,2.6349,yes,0.35,65705.9032,mobile,0.9096,gold,2500.0,20.0,north,0.2008,472.1212,210.4741
35.0158,41.4098,yes,0.35,403244.2469,mobile,0.7466,gold,2500.0,6.9102,east,0.9629,85.3135,231.9936
74.5105,1.682,no,0.35,227393.0139,mobile,0.6728,gold,2500.0,20.0,south,0.8224,564.2348,26.8947
83.7289,11.847,yes,0.0632,411927.6757,mobile,0.9094,gold,2500.0,20.0,north,0.1398,567.8107,73.7431
81.6572,7.6475,no,0.35,335243.1094,mobile,0.7431,gold,2500.0,20.0,south,0.7423,93.5592,100.1574
18.421,19.156,yes,0.35,475277.5849,mobile,0.8555,gold,1987.0925,20.0,east,0.5445,586.7277,86.723
86.2268,41.3854,no,0.0917,106052.9077,mobile,0.6395,gold,2500.0,3.0347,north,0.3335,593.3037,189.0878
76.1659,12.4169,no,0.35,394321.8771,mobile,0.596,gold,2500.0,20.0,north,0.9875,324.5891,191.8448
17.0997,39.7092,yes,0.2379,161885.731,mobile,0.1742,gold,1047.9804,20.0,west,0.5261,447.6535,114.8228
53.2841,47.3254,yes,0.0434,391613.498,mobile,0.867,gold,2500.0,20.0,west,0.964,37.4344,115.4767
68.7177,22.7346,yes,0.35,161055.9099,mobile,0.1483,gold,2500.0,20.0,east,0.5854,427.5795,92.0362
74.6891,6.6063,yes,0.35,438853.1065,mobile,0.5513,gold,2500.0,20.0,south,0.8881,248.8743,198.7532
47.5805,33.5903,no,0.35,76319.4624,mobile,0.923,gold,1342.6662,20.0,south,0.0932,58.8421,177.5722
65.581,21.1296,no,0.35,470564.9344,mobile,0.4229,gold,2500.0,3.0868,north,0.2876,188.1569,25.7605
78.6983,18.1556,no,0.35,57442.6568,mobile,0.2786,gold,2500.0,20.0,east,0.561,460.6921,149.592
29.3508,35.4322,no,0.309,169912.3284,mobile,0.0061,gold,2500.0,20.0,west,0.4008,85.9829,152.3281
47.0676,17.7039,no,0.35,360797.9839,mobile,0.7768,gold,2500.0,5.0974,west,0.0526,95.2885,148.6633
51.939,22.6602,no,0.2732,377471.5718,mobile,0.1138,gold,2500.0,16.9948,east,0.6785,292.493,160.4447
16.5688,15.7695,no,0.2112,68617.4026,mobile,0.2555,gold,2500.0,1.0,east,0.747,106.2412,91.8696
45.3833,37.36,yes,0.35,229877.1252,mobile,0.0779,gold,2500.0,20.0,north,0.4044,384.4449,70.1941
75.2978,31.2881,yes,0.35,459884.8759,mobile,0.0881,gold,2500.0,14.599,north,0.5889,314.8536,95.5882
40.6471,9.2385,no,0.35,57013.3199,mobile,0.51,gold,2500.0,20.0,south,0.7274,491.5502,195.7938
30.5981,30.5176,yes,0.35,327754.5053,mobile,0.1771,gold,2500.0,20.0,north,0.7544,456.1664,108.2884
48.5424,23.9771,yes,0.35,398164.8396,mobile,0.5914,gold,2500.0,4.4514,west,0.4617,23.5267,89.1283
50.2407,28.1615,no,0.35,447938.3828,mobile,0.4497,gold,2500.0,20.0,south,0.3215,285.9018,37.0558
88.6965,5.1321,yes,0.35,19571.0631,mobile,0.7076,gold,2500.0,20.0,east,0.6098,218.9749,220.3869
74.4028,32.718,yes,0.0659,47252.9738,mobile,0.6784,gold,2500.0,20.0,south,0.6566,543.8993,209.7138
38.9571,33.1467,no,0.35,64475.8291,mobile,0.7088,gold,1694.3802,20.0,south,0.6435,197.7575,31.5427
17.3491,16.1344,no,0.35,170866.1726,mobile,0.7662,gold,2500.0,20.0,north,0.1549,178.1795,189.3607
60.1962,8.5584,yes,0.1808,346422.8204,mobile,0.6247,gold,2500.0,20.0,west,0.0437,219.2153,172.981
33.3162,12.7193,yes,0.35,392185.1198,mobile,0.904,gold,2500.0,20.0,north,0.5704,264.9178,184.8958
76.45,40.2617,yes,0.1384,125001.6058,mobile,0.6412,gold,2500.0,20.0,south,0.1026,507.6895,204.4287
49.2496,26.1543,yes,0.35,45856.7848,mobile,0.9105,gold,2500.0,20.0,east,0.9305,249.5232,95.7525
43.7435,2.3812,no,0.35,419588.1438,mobile,0.65,gold,2500.0,8.256,west,0.2869,498.0272,167.3612
61.5358,45.387,no,0.03,107827.3722,mobile,0.1495,gold,2500.0,20.0,west,0.4233,465.9274,57.796
63.2824,31.5177,no,0.0628,418343.8603,mobile,0.4998,gold,2500.0,20.0,north,0.575,431.4081,70.614
58.2291,10.1784,yes,0.35,261742.2788,mobile,0.3606,gold,2500.0,20.0,south,0.7864,305.0659,5.8599
34.7701,1.7959,yes,0.35,172401.2466,mobile,0.7329,gold,2500.0,20.0,west,0.7352,200.1786,11.5962
88.5806,24.448,yes,0.1823,67426.2906,mobile,0.716,gold,2500.0,2.219,west,0.2016,474.8744,212.7039
34.7452,37.9113,yes,0.1911,178487.088,mobile,0.7808,gold,2500.0,19.9155,north,0.1245,221.4435,213.5873
52.719,25.3786,yes,0.35,259637.9268,mobile,0.8011,gold,2500.0,4.7356,south,0.6025,493.5824,131.3684
64.908,16.0183,yes,0.35,213058.0364,mobile,0.6898,gold,2500.0,2.5413,east,0.87,212.183,239.558
65.6676,20.9043,no,0.35,374948.9921,mobile,0.16,gold,622.8124,20.0,south,0.6781,263.4655,31.169
44.3312,28.795,yes,0.35,339531.0285,mobile,0.9488,gold,2500.0,20.0,east,0.5739,318.1465,96.1301
70.4399,25.4532,yes,0.35,280836.3554,mobile,0.2618,gold,2500.0,20.0,north,0.9964,172.0605,220.0385
79.1091,23.1501,yes,0.35,222555.5964,mobile,0.0878,gold,2500.0,20.0,north,0.3196,209.1078,16.5204
74.7335,25.929,no,0.1214,100490.1856,mobile,0.1389,gold,2500.0,1.577,east,0.554,221.9778,193.0752
38.8875,49.9802,yes,0.35,262847.8274,mobile,0.7692,gold,2500.0,4.425,north,0.9724,385.7608,108.5439
48.0138,45.6249,yes,0.0554,62080.5603,mobile,0.153,gold,2500.0,19.3596,north,0.7093,208.2678,225.8761
62.9942,27.9912,yes,0.1252,151412.3031,mobile,0.5335,gold,2500.0,10.1182,east,0.9416,93.3624,158.4372
22.0105,47.4788,yes,0.35,132327.9539,mobile,0.2108,gold,2500.0,20.0,west,0.0303,533.5091,131.393
38.0101,4.5757,yes,0.0599,219802.75,mobile,0.4843,gold,2500.0,20.0,south,0.3126,431.2994,176.4737
54.1085,6.203,no,0.2417,61260.9545,mobile,0.4496,gold,2500.0,3.0363,north,0.9454,518.6341,100.9342
72.471,25.415,yes,0.35,249379.8542,mobile,0.3085,gold,463.526,20.0,south,0.5054,580.0453,52.4195
52.6222,44.2346,yes,0.35,235293.4267,mobile,0.5367,gold,2500.0,20.0,east,0.8825,436.7773,183.5618
58.2008,10.5381,no,0.35,36765.8749,mobile,0.5043,gold,2500.0,16.7832,south,0.9891,408.5588,29.3958
57.2796,18.9147,no,0.1443,301231.4756,mobile,0.4014,gold,805.0981,2.3348,south,0.7136,482.5755,125.1205
84.9213,16.608,yes,0.35,308250.2437,mobile,0.8426,gold,2500.0,20.0,south,0.5097,294.4181,135.5389
65.8617,49.015,no,0.35,398377.407,mobile,0.7253,gold,2500.0,1.5988,west,0.4746,580.2753,188.1141
28.6179,31.8222,yes,0.35,420583.5625,mobile,0.1478,gold,2500.0,1.8942,west,0.9482,66.8274,5.526
67.097,21.1085,yes,0.35,460260.4749,mobile,0.8728,gold,2500.0,3.7369,south,0.1381,125.1977,78.6868
86.7947,23.5235,no,0.35,273136.6096,mobile,0.6759,gold,2500.0,20.0,north,0.8037,159.3529,116.719
85.6699,49.1308,yes,0.35,352450.4684,mobile,0.6902,gold,2500.0,20.0,west,0.5605,560.7567,173.4778
76.5599,47.7758,no,0.35,145226.326,mobile,0.2876,gold,2500.0,20.0,south,0.4424,154.6099,115.4999
26.1582,31.1682,no,0.35,121229.0192,mobile,0.6698,gold,2500.0,20.0,east,0.0525,248.5675,172.4486
87.3744,48.9176,no,0.1579,326446.3989,mobile,0.8806,gold,2500.0,20.0,east,0.7559,173.0598,69.2143
83.579,9.5782,yes,0.35,87894.3538,mobile,0.9196,gold,2500.0,20.0,south,0.4954,562.0286,230.9494
58.0292,6.2577,no,0.35,142280.8262,mobile,0.9891,gold,2500.0,20.0,north,0.9386,510.7848,112.857
70.1028,32.766,yes,0.35,7042.0978,mobile,0.3371,gold,2500.0,20.0,east,0.1932,366.9617,153.6555
45.6617,5.6739,no,0.35,238727.0492,mobile,0.9358,gold,136.6024,20.0,north,0.4467,160.9296,79.7804
20.5972,6.793,yes,0.3068,202708.3065,mobile,0.5025,gold,2500.0,20.0,north,0.311,71.332,219.9552
86.8447,24.4309,no,0.35,494418.9809,mobile,0.3736,gold,2500.0,20.0,west,0.7574,481.395,198.3192
55.0848,18.7275,yes,0.35,56104.3958,mobile,0.8288,gold,2500.0,12.1294,west,0.5367,99.5578,205.2222
22.7297,26.0084,yes,0.35,226716.1501,mobile,0.5132,gold,2500.0,3.4642,north,0.4624,484.3423,173.8639
58.795,3.2192,no,0.3445,31879.9561,mobile,0.9941,gold,2500.0,4.1411,south,0.9338,20.0092,98.7192
89.4714,19.7415,no,0.35,453383.6558,mobile,0.3756,gold,2500.0,20.0,north,0.5393,392.4669,84.117
69.8615,11.9118,yes,0.03,11367.6637,mobile,0.2984,gold,2500.0,20.0,north,0.5319,494.1929,60.1554
85.3684,36.5262,no,0.1128,404739.0918,mobile,0.4192,gold,2500.0,20.0,north,0.0156,124.4429,25.1143
70.8,20.711,yes,0.2343,108634.6051,mobile,0.8637,gold,1128.8807,20.0,north,0.2893,489.656,175.8327
38.3306,8.0198,yes,0.35,110521.3702,mobile,0.3005,gold,1219.1527,20.0,east,0.8797,547.035,150.6124
87.9495,47.1377,no,0.35,392902.298,mobile,0.3187,gold,2500.0,8.9531,west,0.3765,452.8952,114.171
83.6908,28.5569,no,0.35,278643.3791,mobile,0.1341,gold,2500.0,12.2002,east,0.6467,553.4134,203.4649
35.8662,34.0099,yes,0.35,436810.2292,mobile,0.1882,gold,2500.0,20.0,north,0.5589,288.1571,208.8043
85.3498,48.1418,yes,0.1173,499786.0035,mobile,0.4789,gold,2500.0,20.0,south,0.2045,549.1607,132.947
38.8232,18.6226,no,0.35,233002.0335,mobile,0.8028,gold,2500.0,20.0,north,0.3202,122.6734,75.7884
17.2003,28.1123,yes,0.35,360005.9689,mobile,0.2952,gold,2500.0,13.8011,west,0.5698,148.1923,132.6036
50.1013,36.9058,no,0.35,69979.2643,mobile,0.5465,gold,2500.0,20.0,east,0.9903,574.3849,126.2227
46.517,42.2847,yes,0.2314,353584.7819,mobile,0.0091,gold,2500.0,20.0,east,0.6178,400.3861,148.3481
16.4893,28.0305,no,0.03,264708.8234,mobile,0.2747,gold,2500.0,1.0286,north,0.8132,404.7457,193.6741
33.8317,31.3693,yes,0.2524,177220.5504,mobile,0.7949,gold,1580.3849,20.0,east,0.459,146.6815,167.6395
22.919,19.5839,no,0.35,28057.4696,mobile,0.0095,gold,2500.0,20.0,north,0.4339,470.8414,136.2397
31.6449,43.5377,yes,0.35,237750.1438,mobile,0.0466,gold,1486.9612,20.0,north,0.8993,338.5424,8.8635
71.6668,35.9229,no,0.35,38468.7457,mobile,0.1625,gold,2500.0,20.0,south,0.3892,538.0189,80.2834
19.9735,22.4173,yes,0.35,170296.3732,mobile,0.769,gold,2500.0,20.0,south,0.7736,18.7458,66.3252
56.9248,19.3959,yes,0.1857,292937.5606,mobile,0.3801,gold,2500.0,17.7228,west,0.2464,45.0305,65.0453
39.4342,6.221,yes,0.03,154133.7276,mobile,0.3599,gold,2500.0,7.9504,east,0.1874,269.8574,133.5829
42.1897,5.5601,no,0.35,162215.1653,mobile,0.3852,gold,2500.0,20.0,west,0.0847,540.7805,217.3446
28.5431,14.177,yes,0.2684,72967.4103,mobile,0.1672,gold,2500.0,17.9851,west,0.7827,217.3138,226.6691
23.916,15.9282,no,0.35,166108.6077,mobile,0.6202,gold,2500.0,19.7725,north,0.3347,489.4698,206.4225
51.4467,9.7042,yes,0.35,159568.8324,mobile,0.7349,gold,2500.0,20.0,north,0.782,196.2059,67.9917
59.8248,27.7358,yes,0.35,275049.5785,mobile,0.953,gold,2500.0,20.0,north,0.4385,175.5074,166.5876
62.8669,12.859,yes,0.35,357618.1956,mobile,0.7891,gold,1479.3027,20.0,south,0.4792,241.0823,122.0804
67.9209,40.8026,yes,0.35,457200.6244,mobile,0.1094,gold,2500.0,20.0,east,0.1663,367.9941,135.6096
16.7805,13.6782,no,0.35,259398.8834,mobile,0.5805,gold,2500.0,20.0,west,0.3911,463.633,141.673
23.7367,21.3828,yes,0.35,58034.669,mobile,0.9407,gold,2500.0,18.7134,west,0.4553,124.9135,116.4193
39.5993,15.7129,no,0.35,57542.6333,mobile,0.8492,gold,2500.0,20.0,south,0.1644,590.3564,59.2952
57.4288,47.9647,yes,0.2319,202523.7181,mobile,0.1845,gold,2500.0,20.0,north,0.0292,368.8501,48.1605
31.2281,37.8639,yes,0.35,31281.8757,mobile,0.1018,gold,2500.0,11.2176,west,0.326,275.0727,63.7025
61.2368,29.7632,no,0.3479,422758.9013,mobile,0.6174,gold,2500.0,20.0,north,0.2974,369.0762,21.2557
38.5981,9.9692,no,0.35,255412.4347,mobile,0.4182,gold,2500.0,20.0,west,0.1858,381.6655,166.7305
37.3738,10.1678,yes,0.35,309704.9894,mobile,0.8655,gold,2500.0,20.0,west,0.1951,230.9826,135.2181
68.5505,22.7487,yes,0.1673,282698.8996,mobile,0.7959,gold,2500.0,1.9617,east,0.2248,173.9135,187.5969
35.8238,27.6122,no,0.35,271021.6896,mobile,0.7568,gold,2500.0,20.0,west,0.2185,255.6677,176.9013
35.4483,43.2478,yes,0.087,432645.2352,mobile,0.1174,gold,2500.0,12.5927,north,0.7376,413.791,206.7906
76.2012,40.4666,no,0.35,266140.3987,mobile,0.5969,gold,2500.0,20.0,east,0.2926,344.0686,228.623
89.444,43.4853,yes,0.1269,433039.3975,mobile,0.2497,gold,2500.0,20.0,west,0.7615,406.0645,117.9806
49.4474,32.0478,no,0.35,46547.392,mobile,0.5156,gold,2500.0,20.0,west,0.3691,570.2022,79.2221
62.9782,35.1672,no,0.35,397838.9633,mobile,0.3977,gold,2500.0,20.0,south,0.4947,194.3962,68.7787
82.1674,38.3504,yes,0.0459,313089.7611,mobile,0.8367,gold,325.627,20.0,south,0.158,274.4544,238.0493
27.7643,46.7036,no,0.274,327293.9822,mobile,0.2504,gold,2500.0,20.0,east,0.1655,238.4086,74.0167
16.0804,24.3635,no,0.1327,113095.4307,mobile,0.68,gold,185.739,20.0,north,0.8171,592.9048,101.933
44.3472,36.8074,no,0.1024,156675.7387,mobile,0.881,gold,2500.0,20.0,north,0.7532,80.7546,238.3127
48.5674,36.3992,yes,0.35,75687.0654,mobile,0.4117,gold,2500.0,20.0,south,0.0867,61.1786,180.8345
74.5397,13.1415,yes,0.35,124083.5136,mobile,0.601,gold,2500.0,17.0952,west,0.9413,17.0678,203.4497
37.8701,3.6739,yes,0.35,477335.7557,mobile,0.4949,gold,2254.8733,20.0,west,0.5939,317.4436,234.6696
79.7002,28.8506,no,0.35,341471.0245,mobile,0.7627,gold,2500.0,20.0,south,0.0167,41.452,63.6623
62.5142,25.5514,no,0.35,350905.3193,mobile,0.0824,gold,2500.0,20.0,west,0.2775,186.6342,123.2018
59.3964,38.398,no,0.35,321577.2847,mobile,0.3102,gold,2500.0,20.0,south,0.2386,147.4434,221.986
65.2899,33.2446,yes,0.1756,6332.4858,mobile,0.1372,gold,227.0121,20.0,north,0.3467,310.8165,197.5791
71.4835,43.7995,no,0.35,59028.3601,mobile,0.8999,gold,2500.0,20.0,south,0.5239,158.5068,234.0371
20.1025,43.1086,no,0.1669,78654.9906,mobile,0.7733,gold,2500.0,20.0,west,0.1153,444.7272,1.6139
42.9343,46.0911,yes,0.179,480171.0727,mobile,0.0354,gold,2500.0,20.0,south,0.6557,135.4847,60.3349
24.8357,33.993,yes,0.0527,111592.5305,mobile,0.5158,gold,918.5719,20.0,west,0.877,519.7533,185.8731
16.5897,10.8329,no,0.35,151954.6536,mobile,0.6227,gold,2500.0,20.0,west,0.4934,463.7953,47.706
17.7694,27.5357,no,0.35,346730.4031,mobile,0.0096,gold,2500.0,20.0,west,0.3763,443.1115,74.495
52.4101,3.9349,no,0.35,355826.2374,mobile,0.093,gold,2500.0,20.0,north,0.5198,420.8073,90.0256
63.154,20.3232,yes,0.35,31141.4318,mobile,0.6624,gold,2500.0,17.5006,south,0.8509,555.6991,94.9157
33.2872,47.2342,no,0.1361,385073.3101,mobile,0.109,gold,2113.155,20.0,west,0.314,73.3213,86.6307
35.6106,6.8758,no,0.1576,343027.4215,mobile,0.8264,gold,2500.0,2.4198,east,0.8359,197.3484,22.7999
66.1116,13.7482,no,0.35,15541.0467,mobile,0.4044,gold,2500.0,20.0,east,0.2499,277.7639,193.1313
77.4476,49.1458,no,0.1307,411836.7076,mobile,0.3722,gold,2500.0,20.0,west,0.5823,156.0336,195.2466
75.8881,5.507,yes,0.35,404443.6042,mobile,0.1225,gold,2500.0,3.0383,west,0.9241,260.4607,174.139
28.7877,11.5211,yes,0.1872,139927.2771,mobile,0.8834,gold,692.9889,20.0,south,0.2458,177.768,99.4661
44.3431,21.5425,yes,0.35,398598.9709,mobile,0.2491,gold,2500.0,20.0,south,0.0195,230.1164,171.4956
83.5381,25.6173,yes,0.35,89907.9368,mobile,0.3189,gold,2500.0,20.0,north,0.7785,36.0961,237.976
23.4099,33.1864,yes,0.2665,408142.5808,mobile,0.9173,gold,1118.1731,20.0,north,0.2194,508.0565,191.5764
59.8464,40.5043,yes,0.35,456990.0021,mobile,0.0282,gold,2500.0,20.0,north,0.5636,338.3022,45.9878
52.2923,5.4226,yes,0.2326,109404.4708,mobile,0.5264,gold,50.0,20.0,north,0.2015,79.1632,172.3481
59.4091,45.944,yes,0.35,423240.4438,mobile,0.8607,gold,2500.0,20.0,north,0.9419,237.9617,25.1467
70.194,22.4066,no,0.35,243600.0096,mobile,0.3173,gold,2500.0,20.0,south,0.8896,368.6117,86.2813
25.4238,36.7127,no,0.35,474349.0799,mobile,0.3916,gold,2500.0,20.0,west,0.0324,361.8308,221.1281
26.4076,37.5218,yes,0.238,491189.8275,mobile,0.1679,gold,2500.0,5.3236,north,0.709,383.8225,212.9102
34.466,4.3219,yes,0.2567,54017.3006,mobile,0.0013,gold,2500.0,20.0,east,0.9691,530.8466,118.8466
77.3317,39.6478,no,0.35,379121.7718,mobile,0.2256,gold,2500.0,20.0,north,0.0334,13.0267,63.4095
81.7069,8.8843,no,0.075,470917.0718,mobile,0.978,gold,2500.0,20.0,north,0.8932,422.9983,104.0863
19.9631,17.2236,yes,0.35,204639.9329,mobile,0.5541,gold,2500.0,20.0,north,0.6606,179.143,23.9239
20.0334,1.187,yes,0.0876,411948.6535,mobile,0.6251,gold,2500.0,5.8192,west,0.207,383.2762,234.5168
50.8499,44.849,yes,0.265,320933.1913,mobile,0.3875,gold,2500.0,20.0,east,0.1866,27.7255,106.098
27.1837,35.1271,yes,0.0967,334070.5869,mobile,0.8082,gold,2500.0,20.0,north,0.2275,37.5293,93.5184
51.2434,4.8688,yes,0.35,357152.8496,mobile,0.5021,gold,2500.0,20.0,north,0.6775,372.5436,29.7474
75.8261,7.1831,no,0.35,494139.9682,mobile,0.4354,gold,2500.0,20.0,west,0.8341,155.4739,218.6823
