account_balance,age,credit_score,debt_to_income,default_risk,defaulted,employment_status,income,interest_rate,loan_amount,loan_type,region,tenure_months,transaction_amount
79829.8502,50.3483,690.2744,0.6,0.9196,no,employed,180000.0,0.2145,825821.7311,mortgage,west,214.5134,32231.136
114370.354,46.8119,666.199,0.379,0.0287,yes,unemployed,180000.0,0.09,212513.7903,auto,north,287.8262,34034.544
33662.6106,62.6446,593.1467,0.6,0.6906,no,self_employed,180000.0,0.226,793036.4017,mortgage,west,36.22,22160.4185
272271.2071,39.313,820.0,0.5504,0.3518,no,employed,136669.8336,0.1449,230922.7723,business,west,260.4985,31555.4789
131014.8098,54.5544,756.1247,0.5968,0.9805,no,self_employed,180000.0,0.1403,361200.6286,auto,east,110.9095,70802.1406
272213.0731,61.2399,580.0,0.6,0.4909,no,self_employed,180000.0,0.2626,469662.2465,personal,east,160.2474,18437.1827
409278.9791,42.8439,580.0,0.6,0.0536,yes,unemployed,45610.0778,0.2576,304183.5941,business,west,357.8288,11846.0378
219762.3771,45.4487,816.1,0.6,0.3054,no,self_employed,180000.0,0.2782,740219.2608,auto,north,341.2897,20779.5828
112331.2406,52.2235,580.0,0.4085,0.6894,no,unemployed,141503.8312,0.0244,288460.8371,business,south,103.9305,85960.8135
391792.2936,56.7536,696.7098,0.6,0.4251,no,self_employed,163824.1512,0.295,908457.2395,mortgage,west,298.1073,7141.9123
53420.3657,60.698,719.8402,0.6,0.5005,yes,employed,148644.7706,0.0454,40340.8538,auto,north,157.2342,32232.836
480574.6621,69.8294,645.1195,0.6,0.9996,yes,self_employed,180000.0,0.1286,40711.5573,business,west,272.988,47050.6118
313740.2069,48.487,580.0,0.348,0.3333,yes,unemployed,180000.0,0.3874,330138.7617,auto,west,250.6415,28822.4913
34910.4943,33.6487,580.0,0.6,0.8649,yes,unemployed,180000.0,0.0105,869432.8006,personal,west,167.9256,5421.3543
377595.1734,30.6206,629.5318,0.6,0.4381,no,self_employed,180000.0,0.0634,973160.2424,auto,west,220.3672,23930.5069
37536.6927,79.5199,820.0,0.4614,0.1175,yes,self_employed,180000.0,0.2293,716745.0243,business,west,184.6673,27343.2162
271145.1892,41.7823,820.0,0.5082,0.8793,yes,employed,180000.0,0.1315,790111.1789,mortgage,south,151.1344,93424.9051
417112.7205,53.9552,695.9645,0.6,0.4465,no,unemployed,145818.0743,0.1563,762991.2413,business,west,137.664,93285.2927
109116.8475,66.0838,580.0,0.6,0.7052,yes,employed,180000.0,0.1799,663856.9851,business,south,296.0069,98081.833
433547.1598,72.1998,580.0,0.526,0.4569,yes,self_employed,180000.0,0.1904,654953.9358,personal,east,58.107,46949.5906
424400.2991,70.8452,815.6053,0.38,0.3167,yes,employed,180000.0,0.3441,872446.8259,auto,west,15.816,6843.0063
488952.2414,65.1429,722.3345,0.1005,0.1664,yes,employed,90540.358,0.0227,324712.4794,business,west,23.0346,35846.9758
278623.3116,67.1362,580.0,0.079,0.8708,yes,self_employed,180000.0,0.116,912872.6015,mortgage,east,54.093,46115.5302
448443.3512,46.8457,580.0,0.5466,0.0739,yes,self_employed,180000.0,0.4446,299504.672,business,west,346.4444,69031.6609
425201.0839,24.6125,580.0,0.359,0.2959,no,unemployed,180000.0,0.0197,830122.5427,personal,south,144.3026,810.7885
385627.8996,32.2673,781.1592,0.219,0.1901,no,unemployed,75937.4132,0.3425,767587.0391,auto,south,246.0653,13678.7871
392191.3468,20.0686,580.0,0.1314,0.9096,yes,unemployed,98689.0186,0.1928,201194.3973,mortgage,north,283.7851,87646.1832
121054.7431,69.1308,589.1087,0.6,0.7466,yes,unemployed,102275.8609,0.0607,962911.8462,mortgage,east,53.2503,96650.0544
393247.804,18.863,621.9434,0.4548,0.6728,no,self_employed,180000.0,0.2672,822506.0926,auto,south,338.6842,10835.5019
456780.5135,31.7248,580.0,0.6,0.9094,yes,employed,91354.8622,0.1897,140207.124,auto,north,340.8154,30437.1541
442502.2473,26.4112,580.0,0.6,0.7431,no,self_employed,180000.0,0.1944,742397.8803,personal,south,58.1647,41489.0379
6685.3063,40.9729,580.0,0.6,0.8555,yes,self_employed,30707.0328,0.3117,544693.6286,business,east,352.0898,35868.0254
473995.502,69.0998,580.0,0.2121,0.6395,no,employed,180000.0,0.0323,333842.4019,business,north,356.0091,78698.023
404657.0204,32.4459,764.6211,0.6,0.596,no,unemployed,83905.1789,0.443,987533.5407,auto,north,195.8569,79851.5838
-2421.2331,66.979,580.0,0.3238,0.1742,yes,unemployed,25000.0,0.3364,526322.4838,auto,west,269.2025,47625.1203
246957.7318,76.6158,580.0,0.6,0.867,yes,self_employed,156913.9132,0.2115,964044.17,auto,west,24.7147,47898.7121
353324.6706,45.5009,820.0,0.3221,0.1483,yes,self_employed,38731.2849,0.2847,585572.0062,personal,east,257.2385,38091.059
394479.0075,25.0937,692.8278,0.6,0.5513,yes,self_employed,180000.0,0.1992,888146.9765,auto,south,150.7314,82742.0951
207649.6432,59.2367,580.0,0.1526,0.923,no,unemployed,25000.0,0.376,93683.4867,auto,south,37.4735,73879.8611
331706.765,43.4701,820.0,0.6,0.4229,no,employed,180000.0,0.0326,287985.5929,personal,north,114.5443,10360.953
422110.1725,39.7071,633.7593,0.1149,0.2786,no,unemployed,68621.5692,0.1988,561185.2189,mortgage,east,276.9734,62172.7588
82012.1967,61.5673,580.0,0.3398,0.0061,no,employed,180000.0,0.2592,401083.9518,business,west,53.6493,63317.5681
204114.5718,39.1356,580.0,0.6,0.7768,no,self_employed,170710.4734,0.0474,53082.522,personal,west,59.1953,61784.2004
237687.4695,45.4067,580.0,0.6,0.1138,no,employed,129544.1764,0.1346,678647.0116,personal,east,176.7279,66713.5887
-6079.5862,36.688,580.0,0.1372,0.2555,no,unemployed,99108.5844,0.0134,747140.6164,mortgage,east,65.723,38021.3644
192506.2989,64.0066,580.0,0.4598,0.0779,yes,employed,94605.1286,0.1989,404720.6731,mortgage,north,231.5306,28952.231
398674.2987,56.3238,799.2155,0.6,0.0881,yes,unemployed,180000.0,0.1171,589076.8527,mortgage,north,190.0546,39577.2739
159864.9975,28.4242,606.29,0.114,0.51,no,employed,180000.0,0.1637,727515.4161,business,south,295.3647,81503.8855
90608.6194,55.3487,756.1292,0.6,0.1771,yes,unemployed,180000.0,0.2274,754568.6023,mortgage,north,274.2761,44891.0768
214279.0363,47.0731,678.8311,0.6,0.5914,yes,employed,106230.7246,0.0426,462011.6152,auto,west,16.4258,36874.3912
225982.9461,52.3676,775.0907,0.6,0.4497,no,self_employed,180000.0,0.2968,321865.9995,auto,south,172.7996,15086.9568
491016.6464,23.2284,687.6763,0.05,0.7076,yes,self_employed,180000.0,0.2406,610000.5036,mortgage,east,132.9116,91793.761
392505.7351,58.1329,580.0,0.0945,0.6784,yes,employed,85959.9452,0.3284,656735.8044,business,south,326.5643,87328.0929
148218.1862,58.6754,697.2811,0.129,0.7088,no,unemployed,26330.9846,0.2559,643671.5167,personal,south,120.2661,12780.2486
-702.4257,37.1497,820.0,0.3417,0.7662,no,unemployed,58409.5649,0.45,155367.7004,mortgage,north,108.5978,78812.2292
294595.6849,27.5637,580.0,0.6,0.6247,yes,unemployed,180000.0,0.3273,44170.5817,mortgage,west,133.0549,71958.8478
109341.5016,32.8284,820.0,0.6,0.904,yes,unemployed,59010.8367,0.3085,570634.1837,personal,north,160.2933,76944.0858
406614.5322,67.6781,580.0,0.25,0.6412,yes,employed,180000.0,0.254,103038.4369,business,south,304.9835,85116.7536
219152.8024,49.8279,798.628,0.0917,0.9105,yes,employed,180000.0,0.3992,930506.6912,personal,east,151.1182,39646.0001
181205.4634,19.7476,820.0,0.6,0.65,no,unemployed,180000.0,0.0705,287235.9576,personal,west,299.2249,69607.5028
303827.6112,74.1632,580.0,0.2157,0.1495,no,employed,180000.0,0.2779,423543.1316,business,west,280.0936,23764.785
315865.3834,56.6143,580.0,0.6,0.4998,no,unemployed,161280.0815,0.2881,575259.9338,mortgage,north,259.5203,29127.9075
281038.4952,29.6135,700.9289,0.5235,0.3606,yes,employed,180000.0,0.2494,786519.1297,personal,south,184.2213,2034.4103
119361.6331,19.007,773.112,0.3448,0.7329,yes,unemployed,180000.0,0.3495,735319.3913,business,west,121.7091,4434.5245
490217.7848,47.6689,580.0,0.1349,0.716,yes,self_employed,180000.0,0.0263,201990.1973,personal,west,285.426,88579.1528
119190.0203,64.704,580.0,0.357,0.7808,yes,self_employed,180000.0,0.156,124912.7707,mortgage,north,134.3828,88948.7622
243063.6455,48.8465,820.0,0.5193,0.8011,yes,employed,180000.0,0.0447,602652.0722,auto,south,296.5758,54547.8943
327068.8029,37.0027,661.573,0.4261,0.6898,yes,unemployed,106112.5481,0.0286,870102.1565,auto,east,128.8637,99815.0616
332303.7833,43.185,607.8516,0.6,0.16,no,unemployed,25000.0,0.3834,678249.8276,mortgage,south,159.4277,12623.8762
185255.7449,53.1692,663.0569,0.6,0.9488,yes,employed,112232.0002,0.3458,574134.8174,auto,east,192.0172,39804.0066
365194.1783,48.9407,580.0,0.5617,0.2618,yes,employed,78826.6416,0.2064,996366.9296,auto,north,104.9509,91647.9745
424941.4081,46.0266,820.0,0.4451,0.0878,yes,self_employed,180000.0,0.382,319927.9782,business,north,127.0308,6494.8429
394785.1558,49.5429,580.0,0.201,0.1389,no,unemployed,180000.0,0.0216,554244.4265,auto,east,134.7013,80366.369
147738.2659,79.9749,731.3218,0.5257,0.7692,yes,employed,180000.0,0.0425,972393.5416,business,north,232.3149,44997.9996
210635.3261,74.4642,580.0,0.1242,0.153,yes,employed,50232.4669,0.152,709477.4665,mortgage,north,126.5302,94090.4646
313879.1166,52.1522,580.0,0.3028,0.5335,yes,unemployed,151269.3703,0.0842,941636.1844,auto,east,58.0474,65873.6286
31423.656,76.8099,762.6134,0.2647,0.2108,yes,self_employed,172069.0235,0.282,30770.7556,business,west,320.3719,54558.2028
141691.2744,22.5243,580.0,0.4396,0.4843,yes,self_employed,62002.8811,0.2769,312926.208,business,south,259.4555,73420.2413
252639.8684,24.5834,580.0,0.1225,0.4496,no,self_employed,43122.4129,0.0323,945412.2003,mortgage,north,311.5065,41814.0562
379191.9013,48.8925,608.8349,0.4988,0.3085,yes,employed,25000.0,0.4259,505691.7408,auto,south,348.1071,21515.2271
242396.0438,72.705,692.556,0.4706,0.5367,yes,employed,180000.0,0.1996,882514.5031,personal,east,262.7204,76385.9126
280843.6384,30.0686,631.9338,0.0735,0.5043,no,self_employed,180000.0,0.1331,989096.1553,mortgage,south,245.9023,11881.9832
274494.2375,40.6676,580.0,0.6,0.4014,no,unemployed,25000.0,0.0271,713735.0504,business,south,290.0158,51933.7517
464998.0551,37.7489,580.0,0.6,0.8426,yes,employed,178523.672,0.2332,509959.2437,mortgage,south,177.8753,56292.8631
333641.2602,78.7537,650.2213,0.6,0.7253,no,unemployed,180000.0,0.0217,474852.919,auto,west,348.2442,78290.6162
76961.1515,56.9996,671.8415,0.6,0.1478,yes,self_employed,180000.0,0.0239,948231.0682,business,west,42.2327,1894.7178
342155.1331,43.4434,764.9834,0.6,0.8728,yes,unemployed,180000.0,0.0374,138513.4445,personal,south,77.021,32505.6284
477909.601,46.4991,619.8762,0.5463,0.6759,no,self_employed,180000.0,0.3095,803750.7038,mortgage,north,97.3773,48418.526
470157.6286,78.9001,762.7046,0.6,0.6902,yes,employed,147211.9208,0.2211,560707.3464,personal,west,336.6113,72166.7162
407372.5047,77.1857,782.7695,0.2905,0.2876,no,unemployed,180000.0,0.1624,442654.9238,mortgage,south,94.5505,47908.4472
60009.2069,56.172,652.0983,0.2425,0.6698,no,unemployed,159781.4054,0.2907,52964.8613,business,east,150.5486,71736.0883
481904.5713,78.6305,580.0,0.6,0.8806,no,employed,143234.1937,0.2962,756033.1039,business,east,105.5465,28542.2487
455747.1601,28.854,820.0,0.1758,0.9196,yes,employed,180000.0,0.1847,495636.2054,auto,south,337.3693,96213.1759
279660.553,24.6526,820.0,0.2846,0.9891,no,employed,163446.8446,0.2273,938591.2215,mortgage,north,306.8283,46802.6089
362870.8092,58.1937,731.1589,0.05,0.3371,yes,self_employed,89212.253,0.3067,193564.7071,mortgage,east,221.1108,63872.9407
194424.9558,23.9139,820.0,0.4775,0.9358,no,self_employed,25000.0,0.1788,447012.154,mortgage,north,98.317,32963.2007
21683.4092,25.3299,580.0,0.4054,0.5025,yes,self_employed,180000.0,0.3196,311322.4594,business,north,44.9174,91613.1225
478253.8738,47.6473,580.0,0.6,0.3736,no,unemployed,180000.0,0.4116,757471.848,auto,west,289.3122,82560.5253
259368.2933,40.4307,820.0,0.1122,0.8288,yes,employed,180000.0,0.0989,536891.8282,business,west,61.7398,85448.7463
36380.2387,49.6433,785.2152,0.4534,0.5132,yes,self_employed,137582.7442,0.0354,462647.1166,auto,north,291.0688,72328.2847
284938.7452,20.808,580.0,0.0638,0.9941,no,unemployed,180000.0,0.0404,933808.6748,personal,south,14.3293,40887.2847
496356.8653,41.7137,820.0,0.6,0.3756,no,unemployed,180000.0,0.3012,539530.6138,personal,north,236.3117,34777.6409
361207.6519,31.8068,580.0,0.05,0.2984,yes,employed,180000.0,0.2496,532167.6417,mortgage,north,296.9397,24751.9563
468079.2842,62.9515,580.0,0.6,0.4192,no,self_employed,180000.0,0.3989,16137.9735,auto,north,76.5711,10090.5704
367675.95,42.9405,580.0,0.2173,0.8637,yes,unemployed,25000.0,0.2317,289618.8196,mortgage,north,294.2357,73152.0168
143899.8619,26.8821,696.1275,0.221,0.3005,yes,unemployed,25000.0,0.4273,879774.034,personal,east,328.4332,62599.6878
485868.02,76.3784,702.8055,0.6,0.3187,no,self_employed,125481.0654,0.0757,376771.9584,business,west,272.3265,47352.4085
456517.9986,52.8679,820.0,0.5573,0.1341,no,unemployed,73614.6963,0.0995,646882.4986,business,east,332.2347,84713.4915
126915.4098,59.7677,661.7532,0.6,0.1882,yes,self_employed,180000.0,0.3287,559071.051,auto,north,174.1437,86947.5157
467951.4792,77.6488,580.0,0.6,0.4789,yes,self_employed,73535.3614,0.2759,204910.8864,personal,south,329.7001,55208.3772
147295.365,40.298,820.0,0.466,0.8028,no,unemployed,180000.0,0.3451,320573.1681,business,north,75.5165,31292.889
-1727.8505,52.3053,650.4191,0.6,0.2952,yes,self_employed,59661.343,0.1112,570004.6179,personal,west,90.7256,55064.7026
225022.7892,63.4319,580.0,0.14,0.5465,no,unemployed,56030.2841,0.4013,990328.3791,auto,east,344.7336,52394.9176
200320.0334,70.2378,580.0,0.6,0.0091,yes,unemployed,152214.143,0.1742,618026.3183,personal,east,241.0314,61652.3196
-6627.6979,52.2019,580.0,0.5294,0.2747,no,employed,180000.0,0.0175,813250.6423,auto,north,243.6298,80616.9637
112894.1045,56.4264,580.0,0.3544,0.7949,yes,unemployed,25000.0,0.4321,459268.2467,auto,east,89.8252,69723.9344
37685.2578,41.5144,631.6209,0.0561,0.0095,no,unemployed,52243.689,0.2299,434192.6971,auto,north,283.0223,56586.0969
97822.6985,71.8232,820.0,0.4755,0.0466,yes,employed,25000.0,0.4173,899361.995,business,north,204.173,3291.1451
373649.7796,62.1881,580.0,0.0769,0.1625,no,unemployed,72901.1861,0.3772,389462.0291,auto,south,323.0597,33173.6522
17385.1803,45.0995,803.2048,0.3406,0.769,yes,self_employed,180000.0,0.1845,773668.1387,business,south,13.5764,27333.4295
272049.2397,41.2765,580.0,0.5859,0.3801,yes,unemployed,180000.0,0.14,246826.5564,business,west,29.2419,26797.9351
151505.8966,24.6062,580.0,0.3083,0.3599,yes,employed,81660.1665,0.0683,187798.0876,auto,east,163.2372,55474.4453
170496.2865,23.77,658.8263,0.3244,0.3852,no,unemployed,88262.358,0.1806,85157.1672,business,west,324.7056,90520.8522
76445.8901,34.673,580.0,0.1459,0.1672,yes,unemployed,83512.5996,0.1419,782775.2909,business,west,131.9216,94422.2853
44555.9075,36.8888,820.0,0.3322,0.6202,no,self_employed,180000.0,0.155,335068.8556,mortgage,north,294.1247,85950.9872
234294.9686,29.0135,580.0,0.3191,0.7349,yes,self_employed,180000.0,0.4358,782083.3824,auto,north,119.3414,28030.7343
292035.7875,51.829,709.0276,0.5501,0.953,yes,unemployed,139025.0446,0.3217,438735.7268,personal,north,107.0052,69283.8351
313001.3802,33.0053,695.1978,0.6,0.7891,yes,unemployed,25000.0,0.4459,479495.0824,auto,south,146.0874,50661.7577
347833.4864,68.3624,656.292,0.6,0.1094,yes,self_employed,75221.0597,0.3025,166755.324,personal,east,221.726,56322.466
-4620.6359,34.0418,606.4057,0.5188,0.5805,no,self_employed,172995.3841,0.2061,391438.6016,auto,west,278.7262,58859.4071
43320.1726,43.7905,820.0,0.1161,0.9407,yes,employed,43360.8779,0.1472,455604.9689,personal,west,76.8516,48293.117
152643.8319,36.6164,786.1116,0.1151,0.8492,no,unemployed,180000.0,0.3079,164771.9158,business,south,354.2525,24392.0507
275522.9658,77.4247,580.0,0.405,0.1845,yes,self_employed,180000.0,0.2001,29677.6782,auto,north,222.2362,19733.2463
94950.0845,64.6442,785.2379,0.0626,0.1018,yes,unemployed,180000.0,0.0923,326321.9191,mortgage,west,166.3455,26236.0772
301767.2948,54.3943,580.0,0.6,0.6174,no,self_employed,180000.0,0.3206,297796.1123,auto,north,222.371,8476.1121
145743.8013,29.3488,716.0619,0.5108,0.4182,no,unemployed,42222.3223,0.1788,186160.8224,business,west,229.8741,69343.5992
137305.7348,29.6001,805.1911,0.6,0.8655,yes,self_employed,180000.0,0.2232,195530.9274,personal,west,140.0681,56158.6462
352172.6102,45.5188,580.0,0.5654,0.7959,yes,unemployed,66938.3224,0.0244,225230.9949,auto,east,106.0553,78074.239
126623.3438,51.6726,820.0,0.542,0.7568,no,self_employed,180000.0,0.2042,218932.664,auto,west,154.7802,73599.1338
124035.7646,71.4564,580.0,0.6,0.1174,yes,employed,180000.0,0.1023,737744.1755,business,north,249.0207,86105.0086
404900.2314,67.9373,642.0446,0.5323,0.5969,no,employed,51344.832,0.4408,292988.3806,personal,east,207.4666,95239.7821
496167.9751,71.757,580.0,0.6,0.2497,yes,unemployed,180000.0,0.3745,761592.8507,personal,west,244.4157,48946.3831
220515.7785,57.2849,820.0,0.0931,0.5156,no,unemployed,84189.4807,0.422,369386.6385,auto,west,342.2407,32729.6007
313768.6782,61.2319,810.0637,0.6,0.3977,no,unemployed,180000.0,0.3729,494967.5901,personal,south,118.2629,28360.024
446018.8756,65.2597,580.0,0.6,0.8367,yes,employed,25000.0,0.419,158404.5232,business,south,165.977,99183.832
71078.5061,75.829,580.0,0.6,0.2504,no,self_employed,112181.2865,0.4077,165942.3166,auto,east,144.4939,30551.619
-9445.9851,47.562,580.0,0.2262,0.68,no,self_employed,25000.0,0.3161,817200.4724,auto,north,355.7713,42231.9711
185365.6621,63.3073,580.0,0.3134,0.881,no,employed,42001.6591,0.3503,753281.2221,auto,north,50.5332,99294.0226
214450.7046,62.7908,676.848,0.1514,0.4117,yes,self_employed,180000.0,0.3884,87144.6894,personal,south,38.866,75244.8122
393449.0972,33.3628,686.7723,0.2482,0.601,yes,employed,180000.0,0.1354,941308.6055,business,west,12.5763,84707.155
140726.4461,21.3833,820.0,0.6,0.4949,yes,self_employed,34710.3551,0.2298,594132.8033,business,west,191.5983,97769.7171
429015.142,53.2396,580.0,0.6,0.7627,no,employed,180000.0,0.349,17181.0571,personal,south,27.1091,26219.2655
310571.055,49.065,580.0,0.6,0.0824,no,employed,161432.88,0.2811,277829.0019,mortgage,west,113.6368,51130.9585
289082.9531,65.3199,689.9037,0.6,0.3102,no,self_employed,131808.3269,0.4295,239018.0695,auto,south,90.2793,92462.8508
329700.5852,58.7992,580.0,0.05,0.1372,yes,employed,25000.0,0.2284,347031.7751,mortgage,north,187.6486,82250.8648
372385.9559,72.1545,739.7615,0.1181,0.8999,no,self_employed,101168.2969,0.1989,524092.2843,personal,south,96.873,97505.0837
18273.9465,71.2803,580.0,0.1573,0.7733,no,employed,180000.0,0.3066,115775.9367,auto,west,267.4584,257.848
175628.0131,75.054,580.0,0.6,0.0354,yes,self_employed,180000.0,0.3242,655875.4428,auto,south,83.152,24827.0701
50894.4741,59.7462,580.0,0.2232,0.5158,yes,self_employed,25000.0,0.1864,877052.7426,auto,west,312.1735,77352.9744
-5935.7215,30.4416,638.284,0.3039,0.6227,no,employed,139714.0805,0.2703,493613.9955,auto,west,278.8229,19543.047
2194.2305,51.5758,681.5651,0.6,0.0096,no,unemployed,101170.1931,0.3439,376586.6931,business,west,266.4955,30751.7562
240934.7272,21.7135,820.0,0.6,0.093,no,unemployed,180000.0,0.4048,519999.3389,auto,north,253.2023,37249.8249
314979.9968,42.4498,655.1375,0.0623,0.6624,yes,self_employed,40081.7776,0.1383,850988.2489,personal,south,333.597,39295.8741
109141.7256,76.5004,580.0,0.6,0.109,no,self_employed,32591.6673,0.2078,314376.2712,mortgage,west,46.103,35829.3863
125154.0427,25.4346,580.0,0.6,0.8264,no,self_employed,180000.0,0.0277,836006.7886,personal,east,120.0223,9122.1992
335363.5223,34.1303,820.0,0.05,0.4044,no,employed,136208.1497,0.3392,250227.7019,auto,east,167.9494,80389.8714
413489.8893,78.9192,580.0,0.6,0.3722,no,employed,180000.0,0.2937,582532.6395,business,west,95.399,81274.8964
402742.3193,23.7027,808.3653,0.6,0.1225,yes,employed,180000.0,0.0323,924169.6597,personal,west,157.6368,72443.3603
78131.678,31.3124,580.0,0.2799,0.8834,yes,employed,25000.0,0.2824,246161.8869,auto,south,108.3525,41199.8086
185337.7908,43.9926,685.5915,0.6,0.2491,yes,unemployed,180000.0,0.2492,20020.2183,personal,south,139.5518,71337.3535
455465.2785,49.1484,580.0,0.1798,0.3189,yes,unemployed,66487.0362,0.4041,778649.0122,business,north,23.9171,99153.1408
41068.512,58.7256,580.0,0.6,0.9173,yes,employed,25000.0,0.4484,219801.8803,business,north,305.2023,79739.2713
292184.9497,67.985,718.5759,0.6,0.0282,yes,unemployed,180000.0,0.4269,563824.6835,mortgage,north,204.0299,18824.1783
240122.5743,23.596,580.0,0.2188,0.5264,yes,employed,25000.0,0.4139,201863.6512,auto,north,49.5848,71694.0463
289170.6793,74.8679,764.6199,0.6,0.8607,yes,self_employed,180000.0,0.1744,941952.2519,business,north,144.2276,10104.116
363499.533,45.0858,683.5596,0.4872,0.3173,no,self_employed,180000.0,0.2573,889655.4167,mortgage,south,222.0941,35683.1979
